project_id,project_name,state,county,phase,lifecycle_outcome,n_opposition_events,first_opposition_date,what_to_recover
prj_232,Dickson City Data Centers,PA,lackawanna,rejected,blocked_confirmed,1,2026-02-13,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_277,Colossus 2,TN,shelby,construction,advanced_confirmed,18,2025-03-04,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_276,Colossus,TN,shelby,operational,advanced_confirmed,13,2024-08-26,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_323,Meta Hyperion,LA,richland,construction,advanced_confirmed,10,2025-04-04,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_185,Meta Bowling Green Data Center,OH,wood,construction,advanced_confirmed,6,2025-04-01,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_121,CoreWeave Kenilworth,NJ,union,construction,advanced_confirmed,4,2025-11-01,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_56,PowerHouse Louisville,KY,jefferson,construction,advanced_confirmed,3,2025-09-11,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_111,Gateway Digital Campus,MO,franklin,approved,advanced_confirmed,3,2026-01-15,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_140,Rowan County Data Center,NC,rowan,construction,advanced_confirmed,3,2026-03-17,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_40,Hobart Tech Park,IN,lake,approved,advanced_confirmed,2,2025-10-01,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_97,Nebius Independence Hyperscale Campus,MO,jackson,construction,advanced_confirmed,2,2026-01-16,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_182,Strata Expanse AI Center of Excellence,OH,lawrence,construction,advanced_confirmed,2,2025-12-01,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_215,PAX – Pennsylvania Digital I,PA,cumberland,construction,advanced_confirmed,2,2026-03-01,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_300,Microsoft La Porte Data Center,IN,laporte,construction,advanced_confirmed,2,2026-04-13,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_3,Meta Platforms Montgomery Data Center,AL,montgomery,construction,advanced_confirmed,1,2026-03-11,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_5,DC BLOX Birmingham,AL,jefferson,expansion,advanced_confirmed,1,2026-05-25,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_11,Columbiana Mining Facility and Data Center,AL,shelby,construction,advanced_confirmed,1,2026-02-17,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_13,Project Pyramid,AR,crittenden,approved,advanced_confirmed,1,2025-10-01,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_14,Clarksville Data Center,AR,johnson,approved,advanced_confirmed,1,2025-11-25,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_25,Project Zodiac,IN,allen,construction,advanced_confirmed,1,2023-10-01,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_30,Project Rainier,IN,st. joseph,construction,advanced_confirmed,1,2026-07-08,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_34,Project Louie,IN,morgan,construction,advanced_confirmed,1,2025-07-01,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_44,Meta Davenport Data Center,IA,scott,approved,advanced_confirmed,1,2024-05-01,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_69,Federick County Zoning Overlay + Quantum Frederick Park Data Center Campus,MD,frederick,construction,advanced_confirmed,1,2025-12-24,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_89,Clinton Amazon Data Center,MS,hinds,approved,advanced_confirmed,1,2026-01-15,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_91,Canton Amazon Data Center,MS,madison,construction,advanced_confirmed,1,2026-03-01,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_94,Meridian Compass Data Center,MS,lauderdale,construction,advanced_confirmed,1,2025-12-29,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_96,xAI MACROHARDRR,MS,desoto,construction,advanced_confirmed,1,2026-01-08,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_98,Project Green,MO,montgomery,approved,advanced_confirmed,1,2026-02-16,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_100,Crusoe Warrenton AI Data Center,MO,warren,approved,advanced_confirmed,1,2026-01-20,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_101,Wildwood Ranch AI Data Center,MO,jasper,approved,advanced_confirmed,1,2025-10-01,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_102,CRG Festus Data Center,MO,jefferson,approved,advanced_confirmed,1,2026-04-10,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_103,Armory Innovation Data Center,MO,st. louis,approved,advanced_confirmed,1,2026-04-21,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_105,Metrobloks Liberty Data Center Campus,MO,clay,approved,advanced_confirmed,1,2026-03-24,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_114,Marshfield Webster Data Center,MO,webster,construction,advanced_confirmed,1,2026-05-11,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_116,DataOne Vineland,NJ,cumberland,construction,advanced_confirmed,1,2025-12-23,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_145,CLT10 Uptown Expansion,NC,mecklenburg,expansion,advanced_confirmed,1,2026-06-08,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_146,Charlotte University City Data Center,NC,mecklenburg,construction,advanced_confirmed,1,2026-04-23,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_154,T5 Data Centers Kings Mountain,NC,cleveland county; gaston,expansion,advanced_confirmed,1,2026-02-26,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_165,AWS Hillard Campus,OH,franklin,expansion,advanced_confirmed,1,2026-02-24,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_168,5C Springfield Data Center,OH,clark,construction,advanced_confirmed,1,2026-06-16,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_170,Piqua Data Center,OH,miami,approved,advanced_confirmed,1,2025-11-01,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_180,Project Cosmos,OH,union,construction,advanced_confirmed,1,2025-09-03,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_213,CoreWeave Lancaster AI Campuses,PA,lancaster,construction,advanced_confirmed,1,2025-10-06,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_219,Panther Creek (Nesquehoning) HPC/AI Conversion,PA,carbon,approved,advanced_confirmed,1,2026-01-01,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_240,Project Phoenix,PA,beaver,approved,advanced_confirmed,1,2026-01-28,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_282,RadiusDC Nashville I / Trinity Hills Colocation Data Center,TN,davidson,construction,advanced_confirmed,1,2025-09-09,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_297,Jailhouse Studios,TN,hamilton,approved,advanced_confirmed,1,2026-01-01,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_308,Gemini Sioux Falls Data Center,SD,minnehaha,approved,advanced_confirmed,1,2025-12-01,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_310,Polaris Forge 1,ND,dickey,operational,advanced_confirmed,1,2025-08-01,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_311,Polaris Forge 2,ND,cass,construction,advanced_confirmed,1,2025-08-25,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_318,Project Domino,IN,boone,construction,advanced_confirmed,1,2025-08-01,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
